tm,minTa,maxTa,avgTa,sumRn,hr1MaxRn
2019-05-31,13.7,24.1,,0.2,0.2
2019-06-01,10.8,23.5,17.4,0.0,
2019-06-02,13.5,28.0,21.0,0.0,
2019-06-03,13.9,29.5,22.2,0.0,
2019-06-04,16.3,30.9,23.1,0.0,
2019-06-05,16.6,30.2,22.7,0.0,
2019-06-06,16.2,27.3,20.5,29.2,7.9
2019-06-07,16.1,21.3,18.4,35.1,13.7
2019-06-08,15.5,27.0,20.8,0.0,
2019-06-09,17.6,27.3,21.4,15.5,13.2
2019-06-10,14.8,22.8,18.3,7.0,4.1
2019-06-11,16.4,25.5,20.0,0.0,
2019-06-12,14.2,27.2,20.4,0.0,
2019-06-13,15.3,29.9,22.5,0.0,
2019-06-14,17.7,25.0,21.1,0.0,
2019-06-15,15.6,26.6,20.9,0.0,
2019-06-16,14.9,27.2,20.6,0.0,
2019-06-17,16.9,26.6,21.2,0.0,
2019-06-18,16.5,25.9,20.7,0.0,0.0
2019-06-19,18.3,26.3,21.8,0.0,
2019-06-20,17.8,28.2,22.6,0.0,
2019-06-21,19.5,28.0,22.8,0.0,
2019-06-22,18.8,29.6,23.1,0.0,
2019-06-23,17.9,29.0,23.7,0.0,
2019-06-24,17.8,30.1,23.5,0.0,
2019-06-25,17.0,32.2,24.9,0.0,
2019-06-26,19.1,24.0,21.3,2.7,1.0
2019-06-27,20.5,29.5,24.3,0.1,0.1
2019-06-28,21.3,29.2,24.3,0.0,
2019-06-29,20.3,23.9,21.6,13.9,4.6
2019-06-30,20.1,27.7,23.2,0.0,
2019-07-01,19.4,26.8,23.2,0.0,
2019-07-02,16.1,29.3,22.9,0.0,
2019-07-03,18.3,28.3,23.0,0.0,
2019-07-04,17.8,31.5,24.7,0.0,
2019-07-05,18.8,34.4,26.7,0.0,
2019-07-06,19.6,32.5,26.9,0.0,
2019-07-07,21.5,30.0,25.3,0.0,
2019-07-08,20.0,29.2,24.4,0.1,0.1
2019-07-09,19.7,29.3,24.1,0.0,
2019-07-10,19.3,23.6,21.3,14.4,2.8
2019-07-11,19.2,22.9,21.1,6.7,1.7
2019-07-12,19.3,27.5,23.0,0.0,
2019-07-13,19.7,28.3,23.3,0.0,
2019-07-14,19.6,30.0,24.5,0.0,
2019-07-15,19.4,27.9,23.4,51.0,42.4
2019-07-16,19.9,30.3,24.1,0.0,
2019-07-17,21.4,29.5,25.4,0.2,0.2
2019-07-18,22.5,29.0,25.0,1.6,0.7
2019-07-19,23.3,29.2,26.5,0.0,
2019-07-20,23.4,28.4,25.4,17.8,3.3
2019-07-21,21.8,28.4,24.7,21.0,7.6
2019-07-22,25.0,32.1,27.7,0.0,
2019-07-23,25.2,32.8,27.9,0.2,0.2
2019-07-24,24.9,29.7,26.7,0.3,0.3
2019-07-25,25.0,26.6,25.6,78.3,45.2
2019-07-26,25.5,28.5,26.4,8.9,3.3
2019-07-27,24.9,30.6,27.2,56.0,41.3
2019-07-28,24.8,28.4,26.3,17.9,13.3
2019-07-29,24.0,32.0,28.0,0.0,
2019-07-30,25.9,32.7,28.5,0.0,
2019-07-31,26.4,32.5,28.4,0.0,
2019-08-01,25.2,33.2,28.4,0.0,
2019-08-02,24.4,34.2,28.9,0.0,
2019-08-03,24.9,34.9,27.6,18.3,18.3
2019-08-04,24.3,34.7,28.8,0.0,
2019-08-05,24.7,35.5,29.6,0.0,
2019-08-06,26.3,32.9,29.4,0.0,
2019-08-07,23.3,32.6,27.8,28.4,15.8
2019-08-08,24.4,32.3,26.6,15.8,12.5
2019-08-09,24.4,34.0,28.5,0.0,
2019-08-10,25.1,33.9,29.5,0.0,
2019-08-11,25.5,33.6,29.6,1.7,1.4
2019-08-12,24.5,32.3,27.2,14.5,9.3
2019-08-13,24.5,34.2,28.5,0.5,0.5
2019-08-14,24.8,33.8,29.5,0.0,
2019-08-15,23.8,29.2,25.1,24.4,7.0
2019-08-16,23.5,30.3,26.2,0.1,0.1
2019-08-17,21.7,29.8,25.2,5.1,5.1
2019-08-18,19.0,30.0,23.9,0.0,
2019-08-19,20.0,31.1,25.4,0.0,
2019-08-20,22.3,30.9,26.8,0.0,
2019-08-21,22.7,31.9,26.8,0.0,
2019-08-22,22.6,29.6,25.6,30.9,16.2
2019-08-23,20.4,29.7,24.1,0.0,
2019-08-24,18.8,27.3,22.4,0.0,
2019-08-25,18.2,29.8,23.3,0.0,
2019-08-26,18.5,31.5,24.8,0.0,
2019-08-27,19.3,25.3,22.0,38.2,17.4
2019-08-28,20.6,28.4,23.5,0.9,0.8
2019-08-29,19.6,27.6,21.8,8.9,8.2
2019-08-30,17.8,27.5,21.9,0.0,
2019-08-31,17.4,27.6,22.1,0.0,
2019-09-01,17.8,27.4,22.1,0.0,
2019-09-02,19.0,27.0,22.3,3.3,3.0
2019-09-03,20.0,23.7,22.0,1.1,0.4
2019-09-04,21.3,28.2,23.2,7.1,3.5
2019-09-05,21.1,27.6,23.4,28.1,25.5
2019-09-06,22.0,27.8,25.3,0.6,0.3
2019-09-07,22.4,30.5,25.8,1.4,0.9
2019-09-08,22.0,28.3,24.3,0.6,0.4
2019-09-09,22.3,24.8,23.5,7.2,1.2
2019-09-10,23.2,30.5,26.6,0.0,
2019-09-11,23.1,26.7,24.3,1.8,1.6
2019-09-12,19.3,23.8,20.6,10.1,4.5
2019-09-13,18.2,27.1,22.5,0.0,
2019-09-14,18.6,27.7,22.4,0.0,
2019-09-15,21.1,30.1,24.6,0.0,
2019-09-16,20.4,29.0,24.0,0.0,
2019-09-17,16.3,27.8,22.2,0.0,
2019-09-18,14.5,27.9,20.7,0.0,
2019-09-19,12.0,26.5,19.6,0.0,
2019-09-20,16.2,23.2,19.7,0.0,
2019-09-21,15.3,19.9,17.4,39.2,6.2
2019-09-22,14.9,17.6,16.2,62.7,9.2
2019-09-23,13.7,22.2,17.8,0.0,
2019-09-24,12.4,24.9,17.6,0.0,
2019-09-25,12.2,24.3,17.8,0.0,
2019-09-26,16.5,24.6,20.5,0.0,
2019-09-27,16.7,28.7,22.1,0.0,
2019-09-28,19.4,29.3,23.5,0.0,
2019-09-29,17.3,28.6,21.9,0.0,
2019-09-30,14.7,29.4,21.2,0.0,
2019-10-01,17.4,25.5,21.4,0.0,
2019-10-02,19.9,21.6,20.7,66.2,10.8
2019-10-03,19.2,27.1,22.2,14.2,5.6
2019-10-04,19.2,27.4,21.7,0.0,
2019-10-05,15.9,21.6,18.6,0.0,
2019-10-06,14.4,21.7,17.7,0.0,
2019-10-07,13.9,16.9,14.9,8.4,1.5
2019-10-08,9.3,22.1,14.8,0.0,
2019-10-09,5.9,20.5,12.7,0.0,
2019-10-10,9.5,18.6,13.9,0.0,
2019-10-11,11.0,24.0,17.1,0.0,
2019-10-12,13.8,23.8,18.1,0.0,
2019-10-13,10.2,21.7,15.9,0.0,
2019-10-14,8.8,20.2,13.5,0.0,
2019-10-15,7.3,19.1,13.1,0.0,
2019-10-16,8.7,20.8,14.0,0.0,
2019-10-17,10.5,20.4,14.6,0.0,
2019-10-18,10.9,21.1,15.7,0.0,
2019-10-19,11.6,23.0,16.2,0.0,
2019-10-20,10.6,21.8,14.7,0.0,
2019-10-21,8.8,23.1,14.7,0.0,
2019-10-22,10.3,22.8,16.1,0.0,
2019-10-23,12.4,19.0,16.0,0.0,
2019-10-24,13.5,22.9,17.9,0.0,
2019-10-25,11.7,22.3,17.0,0.0,
2019-10-26,6.9,16.3,11.5,0.0,
2019-10-27,3.4,17.0,10.0,0.0,
2019-10-28,4.1,17.8,11.7,0.0,
2019-10-29,8.6,18.1,12.6,2.8,2.7
2019-10-30,4.9,17.6,10.5,0.0,
2019-10-31,5.0,19.8,12.6,0.0,
2019-11-01,9.2,21.3,14.3,0.0,
2019-11-02,6.7,19.0,12.7,0.0,
2019-11-03,8.6,19.8,13.6,0.0,
2019-11-04,8.5,19.7,13.1,0.0,
2019-11-05,5.8,19.5,11.5,0.0,
2019-11-06,3.9,17.8,10.4,0.0,
2019-11-07,3.8,16.8,9.8,0.0,
2019-11-08,-0.7,14.3,6.4,0.0,
2019-11-09,0.3,16.6,7.6,0.0,
2019-11-10,2.7,15.1,8.4,16.6,
2019-11-11,8.2,15.9,11.2,3.2,
2019-11-12,2.7,15.4,9.1,0.0,
2019-11-13,4.4,12.5,7.7,1.5,
2019-11-14,-1.3,6.6,2.2,0.0,
2019-11-15,-2.2,16.8,9.2,0.2,
2019-11-16,7.4,17.3,11.3,2.0,
2019-11-17,5.6,14.0,9.4,74.6,
2019-11-18,1.8,14.0,6.9,11.0,
2019-11-19,-1.0,5.1,1.8,0.1,
2019-11-20,-2.6,8.0,1.7,0.0,
2019-11-21,-3.1,10.5,4.5,0.0,
2019-11-22,2.9,16.7,9.7,0.0,
2019-11-23,5.0,17.8,11.3,0.1,
2019-11-24,7.3,20.9,12.1,2.9,
2019-11-25,1.1,7.9,2.9,0.0,
2019-11-26,0.3,14.1,7.4,0.0,
2019-11-27,0.9,8.1,5.1,0.0,
2019-11-28,-1.4,11.2,3.9,0.0,
2019-11-29,-2.4,8.9,2.2,0.0,
2019-11-30,-2.5,11.8,4.6,0.0,
2019-12-01,4.3,7.6,5.8,8.9,
2019-12-02,-1.1,6.3,2.5,0.0,
2019-12-03,-3.2,6.4,0.9,0.8,
2019-12-04,0.3,9.7,4.7,0.0,
2019-12-05,-5.8,3.5,-1.1,0.0,
2019-12-06,-9.4,1.3,-4.6,0.0,
2019-12-07,-7.7,5.7,-1.0,0.0,
2019-12-08,-4.5,6.4,0.6,0.0,
2019-12-09,-3.8,9.9,3.1,0.0,
2019-12-10,2.6,13.6,8.1,0.0,
2019-12-11,2.5,11.9,7.2,0.0,
2019-12-12,-2.4,5.3,1.2,0.0,
2019-12-13,-5.2,6.2,0.4,0.0,
2019-12-14,0.2,8.4,3.1,0.9,
2019-12-15,-2.2,12.0,4.9,0.0,
2019-12-16,1.6,14.8,7.7,0.0,
2019-12-17,5.2,10.3,6.9,2.2,
2019-12-18,-0.5,6.0,2.4,0.0,
2019-12-19,-3.7,5.2,0.3,0.0,
2019-12-20,-3.1,5.1,-0.3,0.1,
2019-12-21,-5.4,4.6,-0.5,0.0,
2019-12-22,-1.3,8.9,2.8,0.0,
2019-12-23,0.0,7.4,3.3,0.2,
2019-12-24,-2.7,5.3,0.0,0.0,
2019-12-25,-4.3,6.1,1.1,0.0,
2019-12-26,0.4,3.2,2.1,3.2,
2019-12-27,-3.1,4.2,-0.1,0.0,
2019-12-28,-5.3,7.2,0.3,0.0,
2019-12-29,-2.1,4.1,1.5,9.3,
2019-12-30,-1.1,9.3,3.7,0.9,
2019-12-31,-8.3,-1.1,-5.6,0.0,
2020-01-01,-8.6,4.0,-1.6,0.0,
2020-01-02,-3.1,4.4,0.7,0.0,
2020-01-03,-1.9,6.5,1.3,0.0,
2020-01-04,-4.6,7.4,0.2,0.0,
2020-01-05,-5.4,6.5,0.6,0.0,
2020-01-06,-0.6,4.7,2.4,11.8,
2020-01-07,4.6,14.3,8.2,63.3,
2020-01-08,2.1,10.8,3.9,2.8,
2020-01-09,-2.3,4.9,0.9,0.0,
2020-01-10,-4.3,5.7,-0.3,0.0,
2020-01-11,-4.0,6.1,0.5,0.0,
2020-01-12,-1.5,5.5,1.0,0.0,
2020-01-13,-3.3,3.2,-0.4,0.0,
2020-01-14,-3.9,4.0,-0.5,0.0,
2020-01-15,-5.6,2.9,-1.6,0.0,
2020-01-16,-5.7,4.6,-1.2,0.0,
2020-01-17,-4.0,4.7,-0.5,0.0,
2020-01-18,-5.5,7.1,0.2,0.0,
2020-01-19,-3.6,7.8,1.5,0.0,
2020-01-20,-1.2,7.2,2.2,0.0,
2020-01-21,-5.6,5.3,-0.3,0.0,
2020-01-22,-0.9,3.3,1.5,0.4,
2020-01-23,2.8,11.8,5.8,0.0,
2020-01-24,-0.5,9.8,4.0,0.0,
2020-01-25,0.1,10.2,4.6,0.0,
2020-01-26,0.7,11.0,6.1,0.0,
2020-01-27,2.9,7.9,5.5,3.0,
2020-01-28,2.8,10.4,6.4,0.0,
2020-01-29,4.4,10.1,6.5,0.0,
2020-01-30,2.5,10.4,5.6,0.0,
2020-01-31,-0.4,8.8,3.3,0.0,
2020-02-01,-4.3,7.2,1.5,0.0,
2020-02-02,-3.7,6.6,1.3,0.0,
2020-02-03,-2.7,5.2,0.8,0.0,
2020-02-04,-6.7,5.8,-0.4,0.9,
2020-02-05,-8.2,-0.7,-5.7,0.0,
2020-02-06,-10.9,-0.6,-5.6,0.0,
2020-02-07,-7.7,3.4,-1.9,0.0,
2020-02-08,-2.3,5.1,0.9,0.0,
2020-02-09,-7.3,5.7,-0.4,0.0,
2020-02-10,-1.7,11.8,4.3,0.0,
2020-02-11,-2.5,14.7,6.4,0.0,
2020-02-12,3.7,8.8,6.5,12.8,
2020-02-13,4.2,9.8,7.4,0.0,
2020-02-14,2.7,12.5,6.4,0.0,
2020-02-15,2.6,15.4,9.3,1.4,
2020-02-16,-2.8,7.0,-0.1,8.7,
2020-02-17,-6.2,-1.1,-3.9,1.5,
2020-02-18,-7.7,4.1,-2.4,0.2,
2020-02-19,-4.5,7.8,1.2,0.0,
2020-02-20,-1.5,11.7,4.9,0.0,
2020-02-21,0.1,13.8,6.6,1.9,
2020-02-22,1.2,9.7,5.6,1.9,
2020-02-23,-2.0,9.3,3.1,0.0,
2020-02-24,-2.6,15.3,6.5,0.2,
2020-02-25,5.1,8.3,6.3,54.5,
2020-02-26,3.1,13.8,7.1,0.0,
2020-02-27,0.3,11.1,5.6,0.0,
2020-02-28,2.9,6.1,4.6,5.7,
2020-02-29,4.2,13.1,7.3,0.0,
2020-03-01,2.0,10.5,5.6,0.0,
2020-03-02,1.5,9.6,4.5,0.0,
2020-03-03,-0.6,13.8,6.2,0.0,
2020-03-04,-0.6,7.9,2.9,0.0,
2020-03-05,-1.8,9.0,2.1,0.0,
2020-03-06,-4.4,11.3,3.5,0.0,
2020-03-07,1.6,10.1,5.5,0.0,
2020-03-08,-0.7,17.3,8.0,0.0,
2020-03-09,2.5,16.0,9.4,1.1,
2020-03-10,3.2,8.8,6.2,6.3,
2020-03-11,0.8,9.1,4.7,0.0,
2020-03-12,-2.0,15.0,6.3,0.0,
2020-03-13,1.1,11.3,5.6,0.0,
2020-03-14,-2.5,10.9,4.7,0.0,
2020-03-15,1.1,11.9,4.8,0.0,
2020-03-16,-1.8,10.6,4.2,0.0,
2020-03-17,0.7,12.1,6.5,0.0,
2020-03-18,2.3,18.0,10.5,0.0,
2020-03-19,5.8,14.2,10.2,0.0,
2020-03-20,2.9,16.3,9.1,0.0,
2020-03-21,4.5,21.9,13.2,0.0,
2020-03-22,7.2,19.0,12.2,0.0,
2020-03-23,2.2,18.4,10.2,0.0,
2020-03-24,0.3,18.7,10.3,0.0,
2020-03-25,4.0,21.2,12.7,0.0,
2020-03-26,8.1,18.9,13.3,0.2,
2020-03-27,4.9,14.1,10.9,15.0,
2020-03-28,4.2,11.7,7.3,0.0,
2020-03-29,-0.3,16.1,8.2,0.0,
2020-03-30,4.1,18.0,10.9,0.0,
2020-03-31,3.1,20.3,11.5,0.0,
2020-04-01,4.9,19.0,10.6,0.0,
2020-04-02,2.0,17.4,9.3,0.0,
2020-04-03,1.9,18.2,9.7,0.0,
2020-04-04,4.6,15.4,8.5,0.0,
2020-04-05,1.5,15.4,7.7,0.0,
2020-04-06,-0.8,18.1,9.0,0.0,
2020-04-07,3.3,19.5,10.8,0.0,
2020-04-08,2.4,14.5,9.1,0.0,
2020-04-09,1.6,15.7,8.9,0.0,
2020-04-10,4.6,16.8,10.2,0.0,
2020-04-11,3.0,14.1,8.3,0.0,
2020-04-12,1.6,16.2,8.1,0.8,0.8
2020-04-13,4.4,17.1,10.7,0.0,
2020-04-14,3.2,21.5,12.3,0.0,
2020-04-15,3.8,21.3,12.5,0.0,
2020-04-16,5.9,23.3,15.7,0.0,
2020-04-17,9.2,19.8,13.0,5.1,3.2
2020-04-18,9.0,20.3,13.3,0.2,0.1
2020-04-19,8.4,14.1,11.1,11.5,3.4
2020-04-20,7.0,16.5,10.8,0.0,
2020-04-21,4.2,13.2,7.9,0.0,
2020-04-22,3.5,10.6,6.4,0.0,
2020-04-23,2.2,14.3,8.2,0.0,
2020-04-24,1.9,15.8,9.7,0.0,
2020-04-25,8.6,22.2,14.5,0.0,
2020-04-26,4.5,18.4,12.0,0.0,
2020-04-27,4.5,17.5,11.4,0.0,
2020-04-28,3.8,20.9,12.7,0.0,
2020-04-29,7.4,23.4,15.2,0.0,
2020-04-30,6.7,25.9,17.0,0.0,
2020-05-01,16.1,28.3,21.8,0.0,
2020-05-02,18.9,26.5,22.0,0.0,
2020-05-03,16.2,22.7,18.9,4.6,1.5
2020-05-04,11.2,27.0,19.3,0.0,
2020-05-05,9.3,21.2,14.2,1.9,1.0
2020-05-06,12.0,27.8,18.9,0.0,
2020-05-07,13.3,25.0,19.6,0.0,
2020-05-08,12.0,25.4,18.0,7.3,3.7
2020-05-09,13.0,17.8,15.2,18.7,4.0
2020-05-10,12.7,17.7,14.3,0.7,0.3
2020-05-11,13.2,24.5,17.9,0.1,0.1
2020-05-12,10.9,21.0,15.5,0.0,0.0
2020-05-13,7.5,22.8,15.8,0.0,
2020-05-14,10.9,27.0,19.4,0.0,
2020-05-15,14.0,20.3,16.0,30.3,8.8
2020-05-16,15.3,20.0,16.9,0.4,0.3
2020-05-17,15.1,27.6,20.4,0.0,
2020-05-18,13.0,27.1,19.0,15.6,12.8
2020-05-19,11.2,16.5,13.3,5.0,2.3
2020-05-20,8.0,20.6,14.7,0.0,
2020-05-21,9.6,23.2,16.9,0.0,
2020-05-22,14.3,24.4,19.1,0.0,
2020-05-23,14.5,26.1,20.2,0.0,
2020-05-24,15.2,24.2,19.1,7.0,6.1
2020-05-25,13.8,21.6,17.1,0.0,
2020-05-26,13.8,24.7,18.5,0.0,0.0
2020-05-27,12.6,25.0,18.5,0.0,
2020-05-28,11.2,24.4,18.2,0.0,
2020-05-29,13.9,27.2,20.5,0.0,
2020-05-30,15.1,29.1,22.2,0.0,
2020-05-31,16.1,26.7,21.4,0.0,
2020-06-01,15.4,25.7,20.3,0.7,0.4
2020-06-02,13.5,23.5,18.6,0.0,0.0
2020-06-03,17.7,28.1,22.2,0.6,0.4
2020-06-04,20.9,30.0,24.3,0.0,
2020-06-05,20.6,29.9,24.1,0.0,
2020-06-06,18.6,31.1,23.7,34.0,34.0
2020-06-07,18.9,28.6,22.8,0.0,
2020-06-08,17.2,31.5,24.8,0.0,
2020-06-09,18.0,33.2,26.0,0.0,
2020-06-10,20.0,32.8,24.6,66.2,27.1
2020-06-11,20.5,30.8,24.9,11.8,10.8
2020-06-12,20.5,26.4,23.5,3.1,1.0
2020-06-13,21.2,30.4,24.2,5.7,3.0
2020-06-14,20.1,28.2,23.8,0.5,0.4
2020-06-15,17.1,28.5,22.4,0.0,
2020-06-16,18.2,28.7,23.2,0.0,
2020-06-17,19.0,27.7,22.4,0.0,
2020-06-18,18.8,23.1,20.7,0.2,0.2
2020-06-19,17.9,28.9,23.1,1.9,1.0
2020-06-20,18.7,29.2,23.3,0.0,0.0
2020-06-21,19.2,31.6,24.9,0.0,
2020-06-22,19.5,33.4,26.4,0.0,
2020-06-23,20.2,31.0,25.7,0.0,
2020-06-24,20.4,25.6,22.4,4.2,1.2
2020-06-25,19.9,23.1,21.3,3.4,2.0
2020-06-26,19.2,27.6,22.6,0.2,0.2
2020-06-27,19.1,29.1,23.8,0.0,
2020-06-28,18.4,29.7,23.7,0.0,
2020-06-29,19.9,27.1,22.0,48.2,11.2
2020-06-30,18.3,20.8,19.8,33.5,11.2
2020-07-01,17.1,25.4,20.8,0.5,0.4
2020-07-02,17.6,28.2,23.2,0.0,
2020-07-03,19.3,24.3,21.9,0.5,0.3
2020-07-04,18.8,26.6,21.4,0.0,
2020-07-05,19.4,26.8,22.5,0.0,
2020-07-06,19.4,29.4,24.1,0.0,0.0
2020-07-07,21.5,28.9,24.1,0.0,0.0
2020-07-08,18.6,29.9,24.2,0.0,
2020-07-09,19.7,30.6,25.7,0.0,
2020-07-10,21.6,28.9,25.1,7.8,3.5
2020-07-11,21.9,29.8,25.4,0.0,
2020-07-12,19.1,25.3,22.1,31.6,8.3
2020-07-13,17.5,19.6,18.6,120.4,18.7
2020-07-14,18.1,20.8,19.2,13.6,1.9
2020-07-15,18.3,25.3,20.9,3.5,1.2
2020-07-16,18.9,28.6,22.8,0.0,
2020-07-17,18.3,30.5,24.1,0.0,
2020-07-18,20.7,28.8,24.6,0.0,
2020-07-19,20.0,28.2,24.7,12.7,8.6
2020-07-20,21.7,29.2,24.1,14.4,9.8
2020-07-21,21.1,29.8,24.8,0.0,
2020-07-22,20.9,24.9,22.9,22.8,9.6
2020-07-23,20.6,22.7,21.5,51.3,10.5
2020-07-24,19.4,23.5,21.2,22.8,6.1
2020-07-25,20.6,26.2,22.5,10.6,9.4
2020-07-26,21.2,28.1,23.6,0.0,
2020-07-27,21.6,27.3,23.7,15.0,6.6
2020-07-28,21.4,26.6,23.9,1.3,0.6
2020-07-29,22.9,26.5,24.6,26.6,8.5
2020-07-30,23.8,27.5,25.2,76.7,44.7
2020-07-31,23.6,30.4,25.9,4.3,3.3
2020-08-01,23.0,30.5,25.2,30.0,17.4
2020-08-02,23.1,29.8,26.9,29.3,23.4
2020-08-03,23.2,29.1,26.2,14.6,6.8
2020-08-04,24.9,31.4,27.2,16.7,16.2
2020-08-05,24.7,30.0,26.0,22.0,15.1
2020-08-06,22.7,27.4,25.0,27.0,12.3
2020-08-07,22.2,24.0,23.0,22.8,6.0
2020-08-08,22.4,25.5,23.7,36.5,7.0
2020-08-09,24.0,28.9,26.5,24.1,12.4
2020-08-10,24.8,29.3,26.2,27.6,13.5
2020-08-11,23.8,27.1,25.1,69.2,24.9
2020-08-12,24.1,30.2,26.7,26.2,23.4
2020-08-13,24.8,32.0,28.2,0.0,
2020-08-14,26.4,31.5,28.2,0.0,
2020-08-15,25.5,32.3,28.3,0.0,
2020-08-16,23.9,32.3,27.6,0.0,
2020-08-17,24.0,33.1,27.8,0.0,
2020-08-18,23.4,33.2,27.6,0.0,
2020-08-19,23.4,33.2,27.5,0.0,
2020-08-20,23.2,33.3,27.9,0.0,
2020-08-21,23.0,33.5,27.8,0.0,
2020-08-22,23.2,30.5,25.6,0.8,0.8
2020-08-23,22.4,31.4,26.0,0.0,
2020-08-24,22.3,32.7,27.4,0.0,
2020-08-25,24.0,34.8,29.1,0.0,
2020-08-26,25.8,33.4,28.9,1.5,0.9
2020-08-27,25.6,31.5,27.8,20.0,14.2
2020-08-28,24.2,33.5,27.8,71.3,59.0
2020-08-29,24.1,31.4,26.2,28.3,20.7
2020-08-30,24.6,32.6,27.0,33.1,26.9
2020-08-31,24.3,30.9,26.7,0.1,0.1
2020-09-01,22.7,30.9,26.6,0.0,
2020-09-02,22.8,26.0,24.2,28.9,5.8
2020-09-03,20.6,26.6,22.9,50.0,18.9
2020-09-04,20.2,28.4,23.4,0.0,
2020-09-05,19.5,24.9,21.9,0.0,
2020-09-06,18.1,24.9,20.7,16.3,5.6
2020-09-07,16.3,21.8,19.1,45.2,10.8
2020-09-08,20.4,27.7,23.4,0.0,
2020-09-09,18.2,25.2,21.3,7.1,3.4
2020-09-10,18.3,27.7,22.1,0.0,
2020-09-11,18.4,25.2,21.4,3.6,2.6
2020-09-12,17.3,20.1,19.0,9.9,4.5
2020-09-13,17.8,26.6,21.0,0.0,
2020-09-14,15.2,27.6,20.9,0.0,
2020-09-15,17.6,28.4,21.7,0.0,
2020-09-16,19.4,22.5,20.6,3.0,1.1
2020-09-17,17.7,23.4,20.7,7.3,3.9
2020-09-18,15.9,25.2,19.9,0.0,
2020-09-19,14.7,26.1,19.0,0.0,0.0
2020-09-20,12.8,24.8,17.8,0.0,
2020-09-21,12.2,24.1,17.4,0.0,
2020-09-22,14.5,23.8,19.1,0.0,
2020-09-23,13.5,23.1,18.5,0.0,
2020-09-24,15.3,25.9,20.2,0.0,
2020-09-25,14.3,26.0,20.0,0.0,
2020-09-26,15.2,24.7,19.4,0.0,
2020-09-27,13.8,25.2,19.0,0.0,
2020-09-28,13.5,25.1,18.2,0.0,
2020-09-29,12.7,24.2,18.2,0.0,
2020-09-30,13.9,25.0,18.6,0.0,
2020-10-01,15.4,24.3,19.2,0.0,
2020-10-02,15.3,24.6,19.5,0.0,
2020-10-03,17.1,22.7,18.9,5.9,1.7
2020-10-04,12.1,20.8,17.2,0.3,0.2
2020-10-05,6.1,19.5,13.1,0.0,
2020-10-06,8.0,19.5,13.3,0.0,
2020-10-07,9.8,22.3,15.8,0.0,
2020-10-08,12.4,22.2,17.2,0.0,
2020-10-09,10.8,22.7,17.2,0.0,
2020-10-10,10.8,22.4,16.7,0.0,
2020-10-11,11.9,21.0,16.2,0.0,
2020-10-12,11.8,22.5,16.0,0.2,0.2
2020-10-13,7.4,17.8,11.7,0.0,
2020-10-14,7.4,19.4,11.6,0.0,
2020-10-15,5.1,18.0,10.8,0.0,
